GENE_ID,GENE,number_case,number_control,case_control_ratio
ENSG00000105982,RNF32,5,8,-0.6
ENSG00000123576,ESX1,13,13,0.0
ENSG00000105983,LMBR1,6,9,-0.5
ENSG00000103254,ANTKMT,9,7,0.22
ENSG00000110799,VWF,4,6,-0.5
ENSG00000124006,OBSL1,11,11,0.0
ENSG00000109625,CPZ,7,8,-0.14
ENSG00000100399,CHADL,4,0,4
ENSG00000124140,SLC12A5,9,10,-0.11
ENSG00000106686,SPATA6L,0,6,-6
ENSG00000104970,KIR3DX1,7,0,7
ENSG00000110921,MVK,9,7,0.22
ENSG00000124467,PSG8,9,12,-0.33
ENSG00000100461,RBM23,4,0,4
ENSG00000124562,SNRPC,8,11,-0.38
ENSG00000106772,PRUNE2,4,6,-0.5
ENSG00000111581,NUP107,9,5,0.44
ENSG00000124788,ATXN1,6,8,-0.33
ENSG00000106804,C5,4,10,-1.5
ENSG00000105618,PRPF31,7,0,7
ENSG00000111254,AKAP3,5,0,5
ENSG00000102595,UGGT2,6,7,-0.17
ENSG00000111676,ATN1,0,4,-4
ENSG00000125878,TCF15,17,18,-0.06
ENSG00000105717,PBX4,0,7,-7
ENSG00000105289,TJP3,0,5,-5
ENSG00000112110,MRPL18,0,9,-9
ENSG00000105392,CRX,0,4,-4
ENSG00000126217,MCF2L,14,14,0.0
ENSG00000101190,TCFL5,4,0,4
ENSG00000105953,OGDH,0,4,-4
ENSG00000111913,RIPOR2,0,7,-7
ENSG00000126432,PRDX5,13,13,0.0
ENSG00000106012,IQCE,4,0,4
ENSG00000107186,MPDZ,5,4,0.2
ENSG00000110697,PITPNM1,12,11,0.08
ENSG00000101310,SEC23B,8,0,8
ENSG00000127054,INTS11,4,0,4
ENSG00000112139,MDGA1,4,0,4
ENSG00000110711,AIP,12,11,0.08
ENSG00000112763,BTN2A1,12,9,0.25
ENSG00000127124,HIVEP3,5,6,-0.2
ENSG00000112200,ZNF451,4,5,-0.25
ENSG00000127252,PLAAT1,11,13,-0.18
ENSG00000103245,CIAO3,10,7,0.3
ENSG00000105245,NUMBL,0,5,-5
ENSG00000107959,PITRM1,13,10,0.23
ENSG00000103253,HAGHL,10,7,0.3
ENSG00000107719,PALD1,0,4,-4
ENSG00000110844,PRPF40B,4,0,4
ENSG00000106351,AGFG2,0,5,-5
ENSG00000112511,PHF1,4,0,4
ENSG00000127831,VIL1,4,0,4
ENSG00000103426,CORO7-PAM16,7,4,0.43
ENSG00000105290,APLP1,4,6,-0.5
ENSG00000113303,BTNL8,5,8,-0.6
ENSG00000128250,RFPL1,6,8,-0.33
ENSG00000128253,RFPL2,9,8,0.11
ENSG00000105655,ISYNA1,4,7,-0.75
ENSG00000112852,PCDHB2,6,6,0.0
ENSG00000105726,ATP13A1,0,4,-4
ENSG00000113721,PDGFRB,5,0,5
ENSG00000128276,RFPL3,13,11,0.15
ENSG00000108443,RPS6KB1,0,6,-6
ENSG00000113205,PCDHB3,7,6,0.14
ENSG00000107159,CA9,7,5,0.29
ENSG00000113212,PCDHB7,6,4,0.33
ENSG00000113946,CLDN16,10,5,0.5
ENSG00000129116,PALLD,8,10,-0.25
ENSG00000113262,GRM6,5,4,0.2
ENSG00000108556,CHRNE,0,4,-4
ENSG00000129194,SOX15,5,0,5
ENSG00000112159,MDN1,8,4,0.5
ENSG00000129245,FXR2,5,0,5
ENSG00000129255,MPDU1,5,0,5
ENSG00000106290,TAF6,0,7,-7
ENSG00000129277,name not found,9,10,-0.11
ENSG00000114923,SLC4A3,15,18,-0.2
ENSG00000129450,SIGLEC9,4,0,4
ENSG00000113810,SMC4,0,6,-6
ENSG00000109424,UCP1,0,4,-4
ENSG00000115183,TANC1,13,13,0.0
ENSG00000107798,LIPA,4,0,4
ENSG00000130224,LRCH2,15,12,0.2
ENSG00000130226,DPP6,0,6,-6
ENSG00000130307,USHBP1,11,16,-0.45
ENSG00000130338,TULP4,16,18,-0.12
ENSG00000100883,SRP54,0,5,-5
ENSG00000107815,TWNK,7,6,0.14
ENSG00000130396,AFDN,14,15,-0.07
ENSG00000107611,CUBN,9,7,0.22
ENSG00000106571,GLI3,6,4,0.33
ENSG00000130413,STK33,8,7,0.12
ENSG00000105379,ETFB,0,7,-7
ENSG00000115687,PASK,10,10,0.0
ENSG00000130449,ZSWIM6,8,9,-0.12
ENSG00000102908,NFAT5,5,0,5
ENSG00000130540,SULT4A1,5,4,0.2
ENSG00000101132,PFDN4,7,0,7
ENSG00000130600,H19,11,8,0.27
ENSG00000103978,TMEM87A,8,5,0.38
ENSG00000108684,ASIC2,0,13,-13
ENSG00000116786,PLEKHM2,6,0,6
ENSG00000130702,LAMA5,11,10,0.09
ENSG00000115155,OTOF,0,4,-4
ENSG00000116863,ADPRS,0,4,-4
ENSG00000130748,TMEM160,8,5,0.38
ENSG00000114026,OGG1,0,4,-4
ENSG00000130751,NPAS1,11,5,0.55
ENSG00000116985,BMP8B,8,7,0.12
ENSG00000130768,SMPDL3B,11,12,-0.09
ENSG00000117013,KCNQ4,4,0,4
ENSG00000130812,ANGPTL6,4,0,4
ENSG00000115484,CCT4,13,16,-0.23
ENSG00000130813,SHFL,4,0,4
ENSG00000115568,ZNF142,4,0,4
ENSG00000117360,PRPF3,11,13,-0.18
ENSG00000131389,SLC6A6,17,18,-0.06
ENSG00000115593,SMYD1,6,8,-0.33
ENSG00000108961,RANGRF,7,7,0.0
ENSG00000131435,PDLIM4,11,14,-0.27
ENSG00000111344,RASAL1,0,5,-5
ENSG00000112280,COL9A1,5,0,5
ENSG00000131503,ANKHD1,12,13,-0.08
ENSG00000104499,GML,9,5,0.44
ENSG00000131584,ACAP3,13,12,0.08
ENSG00000115648,MLPH,4,0,4
ENSG00000131941,RHPN2,15,16,-0.07
ENSG00000110148,CCKBR,7,0,7
ENSG00000100565,LRRC74A,0,4,-4
ENSG00000103266,STUB1,6,0,6
ENSG00000104804,TULP2,0,4,-4
ENSG00000116017,ARID3A,12,16,-0.33
ENSG00000119669,IRF2BPL,4,4,0.0
ENSG00000116032,GRIN3B,12,14,-0.17
ENSG00000109466,KLHL2,8,9,-0.12
ENSG00000120088,CRHR1,4,0,4
ENSG00000132740,IGHMBP2,10,11,-0.1
ENSG00000132854,KANK4,17,18,-0.06
ENSG00000116539,ASH1L,4,7,-0.75
ENSG00000108389,MTMR4,0,4,-4
ENSG00000104884,ERCC2,4,0,4
ENSG00000115705,TPO,9,12,-0.33
ENSG00000120328,PCDHB12,8,10,-0.25
ENSG00000111186,WNT5B,4,8,-1.0
ENSG00000120438,TCP1,0,9,-9
ENSG00000132958,TPTE2,8,5,0.38
ENSG00000104892,KLC3,4,0,4
ENSG00000113916,BCL6,5,5,0.0
ENSG00000115896,PLCL1,0,4,-4
ENSG00000120696,KBTBD7,16,16,0.0
ENSG00000133149,name not found,16,16,0.0
ENSG00000111452,ADGRD1,8,9,-0.12
ENSG00000104957,CCDC130,0,4,-4
ENSG00000133193,FAM104A,13,7,0.46
ENSG00000117151,CTBS,7,9,-0.29
ENSG00000116016,EPAS1,8,8,0.0
ENSG00000120800,UTP20,4,7,-0.75
ENSG00000102572,STK24,4,0,4
ENSG00000133246,PRAM1,8,9,-0.12
ENSG00000103154,NECAB2,4,0,4
ENSG00000120913,PDLIM2,10,13,-0.3
ENSG00000133454,MYO18B,7,7,0.0
ENSG00000116176,TPSG1,13,12,0.08
ENSG00000121335,PRB2,7,12,-0.71
ENSG00000117600,PLPPR4,4,0,4
ENSG00000133895,MEN1,7,4,0.43
ENSG00000134160,TRPM1,7,10,-0.43
ENSG00000122367,LDB3,5,0,5
ENSG00000134184,GSTM1,8,15,-0.88
ENSG00000115266,APC2,6,0,6
ENSG00000134201,GSTM5,9,16,-0.78
ENSG00000107281,NPDC1,9,10,-0.11
ENSG00000134250,NOTCH2,17,14,0.18
ENSG00000112541,PDE10A,0,4,-4
ENSG00000134283,PPHLN1,10,12,-0.2
ENSG00000123143,PKN1,4,0,4
ENSG00000134463,ECHDC3,13,17,-0.31
ENSG00000120322,PCDHB8,6,6,0.0
ENSG00000105122,RASAL3,4,0,4
ENSG00000134516,DOCK2,8,6,0.25
ENSG00000107593,PKD2L1,8,4,0.5
ENSG00000110046,ATG2A,5,4,0.2
ENSG00000124091,GCNT7,4,0,4
ENSG00000107404,DVL1,7,7,0.0
ENSG00000117395,EBNA1BP2,9,8,0.11
ENSG00000124103,FAM209A,4,0,4
ENSG00000105583,WDR83OS,4,0,4
ENSG00000110060,PUS3,5,0,5
ENSG00000114841,DNAH1,4,6,-0.5
ENSG00000117724,CENPF,4,0,4
ENSG00000124334,IL9R,8,8,0.0
ENSG00000135213,name not found,0,4,-4
ENSG00000114859,CLCN2,8,6,0.25
ENSG00000135378,PRRG4,0,4,-4
ENSG00000135587,SMPD2,7,14,-1.0
ENSG00000135596,MICAL1,8,14,-0.75
ENSG00000105617,LENG1,0,4,-4
ENSG00000116254,CHD5,4,0,4
ENSG00000105438,KDELR1,5,0,5
ENSG00000124942,AHNAK,4,0,4
ENSG00000105464,GRIN2D,5,0,5
ENSG00000135902,CHRND,10,14,-0.4
ENSG00000105889,STEAP1B,4,0,4
ENSG00000115232,ITGA4,4,0,4
ENSG00000116809,ZBTB17,0,4,-4
ENSG00000135976,ANKRD36,17,18,-0.06
ENSG00000118894,EEF2KMT,5,7,-0.4
ENSG00000125755,SYMPK,0,4,-4
ENSG00000136383,ALPK3,14,17,-0.21
ENSG00000115307,AUP1,0,5,-5
ENSG00000122435,TRMT13,14,18,-0.29
ENSG00000125844,RRBP1,12,13,-0.08
ENSG00000115317,HTRA2,0,5,-5
ENSG00000114270,COL7A1,6,9,-0.5
ENSG00000115318,LOXL3,0,5,-5
ENSG00000117480,FAAH,4,0,4
ENSG00000136695,IL36RN,8,5,0.38
ENSG00000115457,IGFBP2,0,4,-4
ENSG00000119681,LTBP2,8,0,8
ENSG00000137171,KLC4,17,18,-0.06
ENSG00000126749,EMG1,16,18,-0.12
ENSG00000137204,SLC22A7,4,6,-0.5
ENSG00000118900,UBN1,0,5,-5
ENSG00000106367,AP1S1,5,0,5
ENSG00000105669,COPE,4,0,4
ENSG00000123349,PFDN5,13,11,0.15
ENSG00000119778,ATAD2B,4,0,4
ENSG00000106560,GIMAP2,5,0,5
ENSG00000127022,CANX,6,5,0.17
ENSG00000105671,DDX49,5,0,5
ENSG00000137266,SLC22A23,17,15,0.12
ENSG00000123360,PDE1B,0,6,-6
ENSG00000137275,RIPK1,14,15,-0.07
ENSG00000119559,C19orf25,4,5,-0.25
ENSG00000107937,GTPBP4,8,0,8
ENSG00000137492,THAP12,0,4,-4
ENSG00000137496,IL18BP,17,18,-0.06
ENSG00000124172,ATP5F1E,0,4,-4
ENSG00000120162,MOB3B,5,4,0.2
ENSG00000137497,NUMA1,17,18,-0.06
ENSG00000110321,EIF4G2,0,6,-6
ENSG00000116205,TCEANC2,0,6,-6
ENSG00000127586,CHTF18,4,5,-0.25
ENSG00000137642,SORL1,17,18,-0.06
ENSG00000124201,ZNFX1,0,4,-4
ENSG00000115607,IL18RAP,0,5,-5
ENSG00000137747,TMPRSS13,12,11,0.08
ENSG00000109756,RAPGEF2,4,6,-0.5
ENSG00000128438,TBC1D27P,10,9,0.1
ENSG00000137804,NUSAP1,8,9,-0.12
ENSG00000116675,DNAJC6,0,5,-5
ENSG00000107890,ANKRD26,0,5,-5
ENSG00000107147,KCNT1,6,4,0.33
ENSG00000137841,PLCB2,0,4,-4
ENSG00000120539,MASTL,10,8,0.2
ENSG00000137857,DUOX1,13,16,-0.23
ENSG00000129968,ABHD17A,11,12,-0.09
ENSG00000110777,POU2AF1,8,4,0.5
ENSG00000124831,LRRFIP1,0,4,-4
ENSG00000113643,RARS1,6,5,0.17
ENSG00000129991,TNNI3,6,4,0.33
ENSG00000138028,CGREF1,17,18,-0.06
ENSG00000120889,TNFRSF10B,6,5,0.17
ENSG00000129993,CBFA2T3,12,14,-0.17
ENSG00000108511,HOXB6,8,0,8
ENSG00000138030,KHK,17,18,-0.06
ENSG00000108515,ENO3,4,0,4
ENSG00000138166,DUSP5,17,18,-0.06
ENSG00000125503,PPP1R12C,14,13,0.07
ENSG00000120952,PRAMEF2,6,8,-0.33
ENSG00000121068,TBX2,11,7,0.36
ENSG00000138592,USP8,14,15,-0.07
ENSG00000125731,SH2D3A,9,10,-0.11
ENSG00000122512,PMS2,4,8,-1.0
ENSG00000125733,TRIP10,9,9,0.0
ENSG00000130529,TRPM4,4,0,4
ENSG00000138688,KIAA1109,4,0,4
ENSG00000111229,ARPC3,4,6,-0.5
ENSG00000122778,KIAA1549,5,0,5
ENSG00000130640,TUBGCP2,16,18,-0.12
ENSG00000138813,C4orf17,8,6,0.25
ENSG00000130695,CEP85,16,18,-0.12
ENSG00000138834,MAPK8IP3,17,17,0.0
ENSG00000123131,PRDX4,4,6,-0.5
ENSG00000139174,PRICKLE1,10,13,-0.3
ENSG00000126216,TUBGCP3,6,5,0.17
ENSG00000123146,ADGRE5,8,0,8
ENSG00000122359,ANXA11,4,0,4
ENSG00000131042,LILRB2,9,0,9
ENSG00000108821,COL1A1,4,0,4
ENSG00000139304,PTPRQ,5,0,5
ENSG00000111700,SLCO1B3,0,4,-4
ENSG00000131069,ACSS2,4,0,4
ENSG00000108840,HDAC5,0,7,-7
ENSG00000126337,KRT36,0,4,-4
ENSG00000131127,ZNF141,7,5,0.29
ENSG00000139737,SLAIN1,10,13,-0.3
ENSG00000126602,TRAP1,0,5,-5
ENSG00000118058,KMT2A,0,4,-4
ENSG00000139835,GRTP1,17,18,-0.06
ENSG00000118322,ATP10B,5,8,-0.6
ENSG00000123066,MED13L,11,6,0.45
ENSG00000112195,TREML2,0,4,-4
ENSG00000118492,ADGB,11,10,0.09
ENSG00000124198,ARFGEF2,0,4,-4
ENSG00000118689,FOXO3,0,4,-4
ENSG00000118579,MED28,9,12,-0.33
ENSG00000123329,ARHGAP9,4,0,4
ENSG00000131653,TRAF7,4,4,0.0
ENSG00000140905,GCSH,17,18,-0.06
ENSG00000124587,PEX6,9,12,-0.33
ENSG00000141219,C17orf80,12,8,0.33
ENSG00000118997,DNAH7,4,0,4
ENSG00000124713,GNMT,9,12,-0.33
ENSG00000132196,HSD17B7,13,12,0.08
ENSG00000127325,BEST3,0,4,-4
ENSG00000132199,ENOSF1,6,6,0.0
ENSG00000141279,NPEPPS,9,6,0.33
ENSG00000112701,SENP6,0,4,-4
ENSG00000116138,DNAJC16,4,0,4
ENSG00000125648,SLC25A23,11,10,0.09
ENSG00000125744,RTN2,4,0,4
ENSG00000119979,DENND10,0,4,-4
ENSG00000127616,SMARCA4,4,5,-0.25
ENSG00000108984,MAP2K6,4,0,4
ENSG00000120332,TNN,7,9,-0.29
ENSG00000127948,POR,12,13,-0.08
ENSG00000141519,CCDC40,14,16,-0.14
ENSG00000120440,TTLL2,9,13,-0.44
ENSG00000119285,HEATR1,9,9,0.0
ENSG00000116833,NR5A2,0,4,-4
ENSG00000133056,PIK3C2B,15,17,-0.13
ENSG00000141959,PFKL,5,7,-0.4
ENSG00000127957,PMS2P3,5,4,0.2
ENSG00000120549,KIAA1217,6,9,-0.5
ENSG00000141994,DUS3L,17,18,-0.06
ENSG00000142025,DMRTC2,4,7,-0.75
ENSG00000128283,CDC42EP1,12,7,0.42
ENSG00000120899,PTK2B,0,4,-4
ENSG00000125398,SOX9,4,0,4
ENSG00000126562,WNK4,4,0,4
ENSG00000142539,name not found,17,16,0.06
ENSG00000128829,EIF2AK4,4,0,4
ENSG00000142627,EPHA2,9,6,0.33
ENSG00000120498,TEX11,8,10,-0.25
ENSG00000121879,PIK3CA,5,5,0.0
ENSG00000113645,WWC1,4,0,4
ENSG00000120645,IQSEC3,5,0,5
ENSG00000142789,CELA3A,12,14,-0.17
ENSG00000121410,A1BG,5,6,-0.2
ENSG00000142798,HSPG2,6,7,-0.17
ENSG00000126247,CAPNS1,10,7,0.3
ENSG00000134247,PTGFRN,16,18,-0.12
ENSG00000130164,LDLR,9,6,0.33
ENSG00000122966,CIT,0,5,-5
ENSG00000128159,TUBGCP6,6,7,-0.17
ENSG00000123104,ITPR2,0,4,-4
ENSG00000114204,SERPINI2,4,0,4
ENSG00000124721,DNAH8,4,4,0.0
ENSG00000128165,ADM2,4,9,-1.25
ENSG00000143379,SETDB1,11,11,0.0
ENSG00000130255,RPL36,0,7,-7
ENSG00000114251,WNT5A,4,5,-0.25
ENSG00000143418,CERS2,11,11,0.0
ENSG00000115760,BIRC6,4,0,4
ENSG00000125122,LRRC29,0,4,-4
ENSG00000134569,LRP4,4,0,4
ENSG00000143429,LSP1P4,5,5,0.0
ENSG00000130311,DDA1,0,9,-9
ENSG00000128191,DGCR8,7,0,7
ENSG00000134871,COL4A2,16,18,-0.12
ENSG00000124126,PREX1,4,0,4
ENSG00000125445,MRPS7,6,6,0.0
ENSG00000134905,CARS2,5,0,5
ENSG00000143450,OAZ3,9,0,9
ENSG00000125447,GGA3,6,6,0.0
ENSG00000135373,EHF,4,4,0.0
ENSG00000130402,ACTN4,7,10,-0.43
ENSG00000114771,AADAC,5,5,0.0
ENSG00000130414,NDUFA10,11,16,-0.45
ENSG00000125457,MIF4GD,6,6,0.0
ENSG00000135845,PIGC,6,5,0.17
ENSG00000144381,HSPD1,4,6,-0.5
ENSG00000130595,TNNT3,0,7,-7
ENSG00000129480,DTD2,5,6,-0.2
ENSG00000123989,CHPF,5,0,5
ENSG00000129925,PGAP6,6,0,6
ENSG00000136003,ISCU,15,18,-0.2
ENSG00000112659,CUL9,4,0,4
ENSG00000144893,MED12L,7,0,7
ENSG00000125107,CNOT1,0,5,-5
ENSG00000130635,COL5A1,8,4,0.5
ENSG00000119772,DNMT3A,4,0,4
ENSG00000136152,COG3,9,14,-0.56
ENSG00000145002,FAM86B2,16,14,0.12
ENSG00000124177,CHD6,0,4,-4
ENSG00000111846,GCNT2,0,5,-5
ENSG00000145113,MUC4,17,18,-0.06
ENSG00000125618,PAX8,0,5,-5
ENSG00000145191,EIF2B5,15,13,0.13
ENSG00000136273,HUS1,6,8,-0.33
ENSG00000145423,SFRP2,5,0,5
ENSG00000130714,POMT1,6,7,-0.17
ENSG00000129646,QRICH2,7,5,0.29
ENSG00000136274,NACAD,13,10,0.23
ENSG00000129910,CDH15,0,7,-7
ENSG00000125730,C3,4,6,-0.5
ENSG00000130787,HIP1R,14,15,-0.07
ENSG00000125966,MMP24,0,5,-5
ENSG00000136378,ADAMTS7,12,15,-0.25
ENSG00000145782,ATG12,17,16,0.06
ENSG00000131165,CHMP1A,7,12,-0.71
ENSG00000126005,MMP24OS,0,5,-5
ENSG00000136449,MYCBPAP,5,0,5
ENSG00000146067,FAM193B,0,5,-5
ENSG00000126107,HECTD3,4,0,4
ENSG00000136709,WDR33,0,4,-4
ENSG00000146094,DOK3,0,4,-4
ENSG00000114331,ACAP2,9,6,0.33
ENSG00000125409,TEKT3,4,0,4
ENSG00000125434,SLC25A35,7,7,0.0
ENSG00000146143,PRIM2,17,18,-0.06
ENSG00000146215,CRIP3,4,6,-0.5
ENSG00000130299,GTPBP3,7,7,0.0
ENSG00000136878,USP20,16,17,-0.06
ENSG00000114520,SNX4,7,0,7
ENSG00000127481,UBR4,5,0,5
ENSG00000120820,GLT8D2,0,6,-6
ENSG00000146555,SDK1,10,14,-0.4
ENSG00000113296,THBS4,4,4,0.0
ENSG00000111696,NT5DC3,4,0,4
ENSG00000121053,EPX,0,4,-4
ENSG00000146755,TRIM50,17,18,-0.06
ENSG00000146776,ATXN7L1,10,7,0.3
ENSG00000127914,AKAP9,8,6,0.25
ENSG00000132382,MYBBP1A,8,6,0.25
ENSG00000114316,USP4,4,0,4
ENSG00000147274,RBMX,14,16,-0.14
ENSG00000132406,TMEM128,9,14,-0.56
ENSG00000147724,FAM135B,10,9,0.1
ENSG00000127603,MACF1,4,6,-0.5
ENSG00000131095,GFAP,6,6,0.0
ENSG00000137414,FAM8A1,6,5,0.17
ENSG00000148308,GTF3C5,6,5,0.17
ENSG00000128298,BAIAP2L2,5,7,-0.4
ENSG00000148408,CACNA1B,17,16,0.06
ENSG00000128487,SPECC1,0,4,-4
ENSG00000122484,RPAP2,0,8,-8
ENSG00000148814,LRRC27,12,10,0.17
ENSG00000128591,FLNC,4,0,4
ENSG00000148950,IMMP1L,0,9,-9
ENSG00000131480,AOC2,0,4,-4
ENSG00000148985,PGAP2,4,7,-0.75
ENSG00000128731,HERC2,7,10,-0.43
ENSG00000149179,C11orf49,4,4,0.0
ENSG00000116198,CEP104,8,5,0.38
ENSG00000149182,ARFGAP2,0,4,-4
ENSG00000133706,LARS1,8,10,-0.25
ENSG00000128626,MRPS12,6,9,-0.5
ENSG00000132005,RFX1,7,0,7
ENSG00000149451,ADAM33,16,17,-0.06
ENSG00000123607,TTC21B,0,6,-6
ENSG00000115257,PCSK4,0,4,-4
ENSG00000138376,BARD1,12,14,-0.17
ENSG00000132549,VPS13B,5,0,5
ENSG00000138395,CDK15,4,4,0.0
ENSG00000134339,SAA2,10,15,-0.5
ENSG00000132004,FBXW9,0,4,-4
ENSG00000151067,CACNA1C,17,18,-0.06
ENSG00000127564,PKMYT1,0,6,-6
ENSG00000128422,KRT17,0,4,-4
ENSG00000132780,NASP,4,0,4
ENSG00000134627,PIWIL4,11,9,0.18
ENSG00000124491,F13A1,4,5,-0.25
ENSG00000132470,ITGB4,5,4,0.2
ENSG00000130270,ATP8B3,0,6,-6
ENSG00000139197,PEX5,4,0,4
ENSG00000130023,ERMARD,4,7,-0.75
ENSG00000132846,ZBED3,9,4,0.56
ENSG00000139428,MMAB,9,6,0.33
ENSG00000151883,PARP8,9,11,-0.22
ENSG00000121289,CEP89,4,5,-0.25
ENSG00000130158,DOCK6,6,8,-0.33
ENSG00000139445,FOXN4,7,5,0.29
ENSG00000116299,ELAPOR1,4,0,4
ENSG00000152439,ZNF773,4,4,0.0
ENSG00000130173,ANGPTL8,0,5,-5
ENSG00000133030,MPRIP,0,6,-6
ENSG00000152591,DSPP,17,18,-0.06
ENSG00000139985,ADAM21,11,11,0.0
ENSG00000152683,SLC30A6,6,0,6
ENSG00000130589,HELZ2,7,8,-0.14
ENSG00000133863,TEX15,4,0,4
ENSG00000116922,C1orf109,0,4,-4
ENSG00000140839,CLEC18B,10,7,0.3
ENSG00000153157,SYCP2L,12,18,-0.5
ENSG00000140853,NLRC5,14,15,-0.07
ENSG00000118680,MYL12B,7,0,7
ENSG00000135837,CEP350,4,0,4
ENSG00000128710,HOXD10,4,4,0.0
ENSG00000130558,OLFM1,0,5,-5
ENSG00000140859,KIFC3,6,8,-0.33
ENSG00000153294,ADGRF4,14,14,0.0
ENSG00000130717,UCK1,4,0,4
ENSG00000128713,HOXD11,0,4,-4
ENSG00000153303,FRMD1,15,17,-0.13
ENSG00000135931,ARMC9,12,15,-0.25
ENSG00000130175,PRKCSH,4,4,0.0
ENSG00000140948,ZCCHC14,0,6,-6
ENSG00000153339,TRAPPC8,0,8,-8
ENSG00000123485,HJURP,10,8,0.2
ENSG00000140983,RHOT2,5,4,0.2
ENSG00000153982,GDPD1,4,7,-0.75
ENSG00000130749,ZC3H4,4,5,-0.25
ENSG00000154358,OBSCN,16,15,0.06
ENSG00000120093,HOXB3,10,4,0.6
ENSG00000141510,TP53,12,6,0.5
ENSG00000154529,CNTNAP3B,15,15,0.0
ENSG00000123999,INHA,0,4,-4
ENSG00000130856,ZNF236,0,4,-4
ENSG00000136295,TTYH3,0,4,-4
ENSG00000154864,PIEZO2,5,0,5
ENSG00000120742,SERP1,5,0,5
ENSG00000130940,CASZ1,0,4,-4
ENSG00000134760,DSG1,8,7,0.12
ENSG00000130881,LRP3,0,6,-6
ENSG00000131018,SYNE1,10,10,0.0
ENSG00000155366,RHOC,0,5,-5
ENSG00000120075,HOXB5,8,0,8
ENSG00000155495,MAGEC1,9,9,0.0
ENSG00000142173,COL6A2,13,18,-0.38
ENSG00000155657,TTN,15,16,-0.07
ENSG00000131016,AKAP12,0,4,-4
ENSG00000136682,CBWD2,9,9,0.0
ENSG00000142208,AKT1,15,12,0.2
ENSG00000155816,FMN2,17,17,0.0
ENSG00000130511,SSBP4,4,7,-0.75
ENSG00000135315,CEP162,0,4,-4
ENSG00000142484,TM4SF5,16,17,-0.06
ENSG00000142513,ACP4,11,9,0.18
ENSG00000156096,UGT2B4,6,10,-0.67
ENSG00000135454,B4GALNT1,4,0,4
ENSG00000156345,CDK20,10,10,0.0
ENSG00000135502,SLC26A10,5,0,5
ENSG00000142623,PADI1,5,0,5
ENSG00000156675,RAB11FIP1,16,16,0.0
ENSG00000156750,name not found,13,12,0.08
ENSG00000131788,PIAS3,0,6,-6
ENSG00000131697,NPHP4,0,5,-5
ENSG00000142669,SH3BGRL3,16,18,-0.12
ENSG00000156931,VPS8,9,12,-0.33
ENSG00000132024,CC2D1A,4,4,0.0
ENSG00000131848,ZSCAN5A,0,4,-4
ENSG00000157106,SMG1,6,5,0.17
ENSG00000130734,ATG4D,0,4,-4
ENSG00000157152,SYN2,17,18,-0.06
ENSG00000132256,TRIM5,0,4,-4
ENSG00000135862,LAMC1,12,13,-0.08
ENSG00000157326,DHRS4,4,0,4
ENSG00000143061,IGSF3,7,9,-0.29
ENSG00000157358,name not found,13,10,0.23
ENSG00000132326,PER2,4,0,4
ENSG00000137821,LRRC49,4,5,-0.25
ENSG00000132361,CLUH,8,4,0.5
ENSG00000136699,SMPD4,5,6,-0.2
ENSG00000143226,FCGR2A,7,5,0.29
ENSG00000158258,CLSTN2,4,0,4
ENSG00000129518,EAPP,4,9,-1.25
ENSG00000136758,YME1L1,10,9,0.1
ENSG00000136048,DRAM1,5,6,-0.2
ENSG00000158483,FAM86C1P,8,0,8
ENSG00000125522,NPBWR2,4,4,0.0
ENSG00000160117,ANKLE1,11,16,-0.45
ENSG00000138069,RAB1A,5,8,-0.6
ENSG00000114346,ECT2,6,0,6
ENSG00000160190,SLC37A1,15,17,-0.13
ENSG00000160194,NDUFV3,4,0,4
ENSG00000143702,CEP170,5,6,-0.2
ENSG00000132874,SLC14A2,0,4,-4
ENSG00000160216,AGPAT3,5,0,5
ENSG00000138468,SENP7,5,8,-0.6
ENSG00000144674,GOLGA4,0,4,-4
ENSG00000160223,ICOSLG,13,16,-0.23
ENSG00000133124,IRS4,0,4,-4
ENSG00000132849,PATJ,0,4,-4
ENSG00000144791,LIMD1,14,16,-0.14
ENSG00000138617,PARP16,0,7,-7
ENSG00000160299,PCNT,6,8,-0.33
ENSG00000123908,AGO2,4,0,4
ENSG00000160321,ZNF208,13,11,0.15
ENSG00000116704,SLC35D1,0,4,-4
ENSG00000136487,GH2,11,13,-0.18
ENSG00000145216,FIP1L1,0,5,-5
ENSG00000160447,PKN3,7,0,7
ENSG00000139372,TDG,6,10,-0.67
ENSG00000137713,PPP2R1B,5,4,0.2
ENSG00000160957,RECQL4,6,9,-0.5
ENSG00000134070,IRAK2,5,4,0.2
ENSG00000160959,LRRC14,4,5,-0.25
ENSG00000132670,PTPRA,0,4,-4
ENSG00000137809,ITGA11,5,0,5
ENSG00000123154,WDR83,4,0,4
ENSG00000161681,SHANK1,0,5,-5
ENSG00000123453,SARDH,7,0,7
ENSG00000161714,PLCD3,4,0,4
ENSG00000117751,PPP1R8,0,5,-5
ENSG00000140009,ESR2,0,7,-7
ENSG00000131650,KREMEN2,0,4,-4
ENSG00000133835,HSD17B4,5,0,5
ENSG00000127419,TMEM175,0,5,-5
ENSG00000140678,ITGAX,0,4,-4
ENSG00000162542,TMCO4,13,13,0.0
ENSG00000133256,PDE6B,4,0,4
ENSG00000147234,FRMPD3,11,14,-0.27
ENSG00000162825,NBPF20,13,13,0.0
ENSG00000138814,PPP3CA,13,13,0.0
