GENE_ID,GENE,number_case,number_control,case_fold, control_fold,case_percentage,control_percentage, absolute_overrepresentation
ENSG00000028310,BRD9,9,4,0.69,-0.31,52.94,22.22,30.72
ENSG00000008196,TFAP2B,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000010818,HIVEP2,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000013573,DDX11,15,18,0.45,-0.55,88.24,100.0,11.76
ENSG00000008300,CELSR3,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000029363,BCLAF1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000010361,FUZ,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000011132,APBA3,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000011523,CEP68,5,8,0.38,-0.62,29.41,44.44,15.03
ENSG00000014164,ZC3H3,7,5,0.58,-0.42,41.18,27.78,13.4
ENSG00000034063,name not found,8,10,0.44,-0.56,47.06,55.56,8.5
ENSG00000010292,NCAPD2,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000007923,DNAJC11,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000007908,SELE,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000015592,STMN4,16,18,0.47,-0.53,94.12,100.0,5.88
ENSG00000034152,MAP2K3,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000008083,JARID2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000008226,DLEC1,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000010327,STAB1,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000008869,HEATR5B,5,6,0.45,-0.55,29.41,33.33,3.92
ENSG00000013288,MAN2B2,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000008735,MAPK8IP2,7,1,0.88,-0.12,41.18,5.56,35.62
ENSG00000041802,LSG1,13,18,0.42,-0.58,76.47,100.0,23.53
ENSG00000009724,MASP2,0,4,0.0,-1.0,0.0,22.22,22.22
ENSG00000013374,NUB1,8,10,0.44,-0.56,47.06,55.56,8.5
ENSG00000020256,ZFP64,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000042304,C2orf83,4,7,0.36,-0.64,23.53,38.89,15.36
ENSG00000010610,CD4,10,6,0.62,-0.38,58.82,33.33,25.49
ENSG00000011304,PTBP1,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000021826,CPS1,14,17,0.45,-0.55,82.35,94.44,12.09
ENSG00000044090,CUL7,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000014216,CAPN1,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000047410,TPR,6,6,0.5,-0.5,35.29,33.33,1.96
ENSG00000014914,MTMR11,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000024422,EHD2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000048707,VPS13D,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000013725,CD6,8,8,0.5,-0.5,47.06,44.44,2.61
ENSG00000015133,CCDC88C,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000020181,ADGRA2,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000026036,RTEL1-TNFRSF6B,6,3,0.67,-0.33,35.29,16.67,18.63
ENSG00000055609,KMT2C,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000021762,OSBPL5,6,9,0.4,-0.6,35.29,50.0,14.71
ENSG00000011566,MAP4K3,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000026751,SLAMF7,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000058453,CROCC,13,9,0.59,-0.41,76.47,50.0,26.47
ENSG00000015568,RGPD5,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000013561,RNF14,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000011590,ZBTB32,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000059122,FLYWCH1,11,13,0.46,-0.54,64.71,72.22,7.52
ENSG00000025770,NCAPH2,7,7,0.5,-0.5,41.18,38.89,2.29
ENSG00000022556,NLRP2,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000060069,CTDP1,13,13,0.5,-0.5,76.47,72.22,4.25
ENSG00000012048,BRCA1,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000028137,TNFRSF1B,7,8,0.47,-0.53,41.18,44.44,3.27
ENSG00000019485,PRDM11,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000025796,SEC63,12,11,0.52,-0.48,70.59,61.11,9.48
ENSG00000035720,STAP1,9,6,0.6,-0.4,52.94,33.33,19.61
ENSG00000060491,OGFR,9,9,0.5,-0.5,52.94,50.0,2.94
ENSG00000020922,MRE11,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000013810,TACC3,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000062822,POLD1,17,17,0.5,-0.5,100.0,94.44,5.56
ENSG00000026297,RNASET2,6,13,0.32,-0.68,35.29,72.22,36.93
ENSG00000038219,BOD1L1,0,4,0.0,-1.0,0.0,22.22,22.22
ENSG00000064932,SBNO2,8,9,0.47,-0.53,47.06,50.0,2.94
ENSG00000028116,VRK2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000039139,DNAH5,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000048052,HDAC9,3,10,0.23,-0.77,17.65,55.56,37.91
ENSG00000065000,AP3D1,13,14,0.48,-0.52,76.47,77.78,1.31
ENSG00000012124,CD22,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000014257,ACP3,0,4,0.0,-1.0,0.0,22.22,22.22
ENSG00000023839,ABCC2,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000049246,PER3,9,10,0.47,-0.53,52.94,55.56,2.61
ENSG00000065325,GLP2R,13,9,0.59,-0.41,76.47,50.0,26.47
ENSG00000032444,PNPLA6,12,12,0.5,-0.5,70.59,66.67,3.92
ENSG00000065361,ERBB3,7,3,0.7,-0.3,41.18,16.67,24.51
ENSG00000029534,ANK1,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000033050,ABCF2,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000033011,ALG1,7,8,0.47,-0.53,41.18,44.44,3.27
ENSG00000051341,POLQ,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000065485,PDIA5,13,17,0.43,-0.57,76.47,94.44,17.97
ENSG00000019144,PHLDB1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000053524,MCF2L2,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000065526,SPEN,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000032389,EIPR1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000035141,FAM136A,10,9,0.53,-0.47,58.82,50.0,8.82
ENSG00000053747,LAMA3,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000067057,PFKP,11,4,0.73,-0.27,64.71,22.22,42.48
ENSG00000046889,PREX2,8,13,0.38,-0.62,47.06,72.22,25.16
ENSG00000068793,name not found,13,9,0.59,-0.41,76.47,50.0,26.47
ENSG00000021645,NRXN3,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000027644,INSRR,5,2,0.71,-0.29,29.41,11.11,18.3
ENSG00000035664,DAPK2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000025708,TYMP,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000035681,NSMAF,8,8,0.5,-0.5,47.06,44.44,2.61
ENSG00000023902,PLEKHO1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000069188,SDK2,13,11,0.54,-0.46,76.47,61.11,15.36
ENSG00000048471,SNX29,2,8,0.2,-0.8,11.76,44.44,32.68
ENSG00000037757,MRI1,2,5,0.29,-0.71,11.76,27.78,16.01
ENSG00000036448,MYOM2,11,13,0.46,-0.54,64.71,72.22,7.52
ENSG00000069696,DRD4,8,12,0.4,-0.6,47.06,66.67,19.61
ENSG00000023171,GRAMD1B,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000036565,SLC18A1,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000037280,FLT4,10,10,0.5,-0.5,58.82,55.56,3.27
ENSG00000070366,SMG6,12,15,0.44,-0.56,70.59,83.33,12.75
ENSG00000049618,ARID1B,5,7,0.42,-0.58,29.41,38.89,9.48
ENSG00000038382,TRIO,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000071626,DAZAP1,13,12,0.52,-0.48,76.47,66.67,9.8
ENSG00000050555,LAMC3,2,9,0.18,-0.82,11.76,50.0,38.24
ENSG00000072274,TFRC,8,7,0.53,-0.47,47.06,38.89,8.17
ENSG00000027869,SH2D2A,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000051382,PIK3CB,5,2,0.71,-0.29,29.41,11.11,18.3
ENSG00000042980,ADAM28,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000038532,CLEC16A,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000072682,P4HA2,12,15,0.44,-0.56,70.59,83.33,12.75
ENSG00000033122,LRRC7,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000042062,RIPOR3,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000044524,EPHA3,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000064225,ST3GAL6,12,15,0.44,-0.56,70.59,83.33,12.75
ENSG00000052344,PRSS8,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000074071,MRPS34,17,17,0.5,-0.5,100.0,94.44,5.56
ENSG00000054654,SYNE2,4,8,0.33,-0.67,23.53,44.44,20.92
ENSG00000047457,CP,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000027847,B4GALT7,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000047578,KATNIP,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000064687,ABCA7,8,9,0.47,-0.53,47.06,50.0,2.94
ENSG00000033178,UBA6,7,2,0.78,-0.22,41.18,11.11,30.07
ENSG00000047662,FAM184B,9,12,0.43,-0.57,52.94,66.67,13.73
ENSG00000042832,TG,8,7,0.53,-0.47,47.06,38.89,8.17
ENSG00000048828,FAM120A,9,11,0.45,-0.55,52.94,61.11,8.17
ENSG00000038427,VCAN,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000075856,SART3,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000049089,COL9A2,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000077063,CTTNBP2,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000048140,TSPAN17,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000077800,FKBP6,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000054392,HHAT,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000065534,MYLK,12,16,0.43,-0.57,70.59,88.89,18.3
ENSG00000078814,MYH7B,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000051825,MPHOSPH9,6,8,0.43,-0.57,35.29,44.44,9.15
ENSG00000052795,FNIP2,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000054983,GALC,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000065717,TLE2,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000079102,RUNX1T1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000066427,ATXN3,9,8,0.53,-0.47,52.94,44.44,8.5
ENSG00000079931,MOXD1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000054118,THRAP3,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000064489,BORCS8-MEF2B,8,12,0.4,-0.6,47.06,66.67,19.61
ENSG00000055813,CCDC85A,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000049759,NEDD4L,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000066923,STAG3,12,11,0.52,-0.48,70.59,61.11,9.48
ENSG00000081842,PCDHA6,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000054148,PHPT1,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000055950,MRPL43,7,7,0.5,-0.5,41.18,38.89,2.29
ENSG00000067365,METTL22,14,18,0.44,-0.56,82.35,100.0,17.65
ENSG00000081853,PCDHGA2,11,7,0.61,-0.39,64.71,38.89,25.82
ENSG00000065268,WDR18,14,16,0.47,-0.53,82.35,88.89,6.54
ENSG00000054179,ENTPD2,9,11,0.45,-0.55,52.94,61.11,8.17
ENSG00000057019,DCBLD2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000042781,USH2A,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000082293,COL19A1,15,16,0.48,-0.52,88.24,88.89,0.65
ENSG00000058085,LAMC2,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000058335,RASGRF1,2,8,0.2,-0.8,11.76,44.44,32.68
ENSG00000039650,PNKP,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000055957,ITIH1,6,4,0.6,-0.4,35.29,22.22,13.07
ENSG00000058866,DGKG,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000060709,RIMBP2,6,2,0.75,-0.25,35.29,11.11,24.18
ENSG00000083097,DOP1A,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000070047,PHRF1,4,8,0.33,-0.67,23.53,44.44,20.92
ENSG00000084234,APLP2,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000038295,TLL1,6,3,0.67,-0.33,35.29,16.67,18.63
ENSG00000059377,TBXAS1,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000047346,FAM214A,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000050767,COL23A1,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000061936,SFSWAP,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000070061,ELP1,6,2,0.75,-0.25,35.29,11.11,24.18
ENSG00000084674,APOB,10,8,0.56,-0.44,58.82,44.44,14.38
ENSG00000066827,ZFAT,6,8,0.43,-0.57,35.29,44.44,9.15
ENSG00000063854,HAGH,10,7,0.59,-0.41,58.82,38.89,19.93
ENSG00000055118,KCNH2,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000070159,PTPN3,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000085185,BCORL1,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000053501,USE1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000064201,TSPAN32,14,14,0.5,-0.5,82.35,77.78,4.58
ENSG00000070182,SPTB,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000085276,MECOM,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000067560,RHOA,0,4,0.0,-1.0,0.0,22.22,22.22
ENSG00000086205,FOLH1,9,8,0.53,-0.47,52.94,44.44,8.5
ENSG00000049323,LTBP1,6,2,0.75,-0.25,35.29,11.11,24.18
ENSG00000047932,GOPC,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000067900,ROCK1,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000054267,ARID4B,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000070444,MNT,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000068724,TTC7A,11,8,0.58,-0.42,64.71,44.44,20.26
ENSG00000042445,RETSAT,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000088205,DDX18,13,11,0.54,-0.46,76.47,61.11,15.36
ENSG00000071894,CPSF1,11,11,0.5,-0.5,64.71,61.11,3.59
ENSG00000057294,PKP2,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000065427,KARS1,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000059915,PSD,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000072657,TRHDE,11,13,0.46,-0.54,64.71,72.22,7.52
ENSG00000089195,TRMT6,6,1,0.86,-0.14,35.29,5.56,29.74
ENSG00000064961,HMG20B,4,6,0.4,-0.6,23.53,33.33,9.8
ENSG00000057252,SOAT1,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000069431,ABCC9,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000060558,GNA15,6,8,0.43,-0.57,35.29,44.44,9.15
ENSG00000073146,MOV10L1,8,8,0.5,-0.5,47.06,44.44,2.61
ENSG00000051128,HOMER3,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000059145,UNKL,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000060656,PTPRU,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000090615,GOLGA3,7,0,1.0,0.0,41.18,0.0,41.18
ENSG00000047936,ROS1,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000060237,WNK1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000073578,SDHA,12,13,0.48,-0.52,70.59,72.22,1.63
ENSG00000090920,name not found,17,17,0.5,-0.5,100.0,94.44,5.56
ENSG00000060971,ACAA1,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000063438,AHRR,8,6,0.57,-0.43,47.06,33.33,13.73
ENSG00000073670,ADAM11,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000091106,NLRC4,10,11,0.48,-0.52,58.82,61.11,2.29
ENSG00000055483,USP36,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000061273,HDAC7,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000066294,CD84,3,12,0.2,-0.8,17.65,66.67,49.02
ENSG00000063601,MTMR1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000066735,KIF26A,4,5,0.44,-0.56,23.53,27.78,4.25
ENSG00000091536,MYO15A,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000092096,SLC22A17,9,4,0.69,-0.31,52.94,22.22,30.72
ENSG00000040487,SLC66A1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000067596,DHX8,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000074276,CDHR2,11,14,0.44,-0.56,64.71,77.78,13.07
ENSG00000092199,HNRNPC,10,11,0.48,-0.52,58.82,61.11,2.29
ENSG00000068024,HDAC4,3,5,0.38,-0.62,17.65,27.78,10.13
ENSG00000092529,CAPN3,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000072071,ADGRL1,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000065618,COL17A1,5,2,0.71,-0.29,29.41,11.11,18.3
ENSG00000068078,FGFR3,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000092758,COL9A3,14,14,0.5,-0.5,82.35,77.78,4.58
ENSG00000070756,PABPC1,13,13,0.5,-0.5,76.47,72.22,4.25
ENSG00000078674,PCM1,14,18,0.44,-0.56,82.35,100.0,17.65
ENSG00000092853,CLSPN,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000060718,COL11A1,3,5,0.38,-0.62,17.65,27.78,10.13
ENSG00000064666,CNN2,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000070371,CLTCL1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000068028,RASSF1,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000072736,NFATC3,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000070601,FRMPD1,1,5,0.17,-0.83,5.88,27.78,21.9
ENSG00000068831,RASGRP2,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000095066,HOOK2,15,18,0.45,-0.55,88.24,100.0,11.76
ENSG00000073008,PVR,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000070610,GBA2,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000069399,BCL3,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000073169,SELENOO,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000079337,RAPGEF3,6,4,0.6,-0.4,35.29,22.22,13.07
ENSG00000095203,EPB41L4B,15,14,0.52,-0.48,88.24,77.78,10.46
ENSG00000069764,PLA2G10,3,5,0.38,-0.62,17.65,27.78,10.13
ENSG00000073282,TP63,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000067829,IDH3G,5,7,0.42,-0.58,29.41,38.89,9.48
ENSG00000070731,ST6GALNAC2,11,14,0.44,-0.56,64.71,77.78,13.07
ENSG00000064205,CCN5,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000070748,CHAT,4,4,0.5,-0.5,23.53,22.22,1.31
ENSG00000066777,ARFGEF1,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000070413,DGCR2,7,6,0.54,-0.46,41.18,33.33,7.84
ENSG00000079432,CIC,5,4,0.56,-0.44,29.41,22.22,7.19
ENSG00000095917,TPSD1,9,11,0.45,-0.55,52.94,61.11,8.17
ENSG00000070190,DAPP1,3,4,0.43,-0.57,17.65,22.22,4.58
ENSG00000066455,GOLGA5,8,2,0.8,-0.2,47.06,11.11,35.95
ENSG00000064270,ATP2C2,7,4,0.64,-0.36,41.18,22.22,18.95
ENSG00000095951,HIVEP1,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000056972,TRAF3IP2,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000070814,TCOF1,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000067798,NAV3,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000074416,MGLL,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000066629,EML1,7,3,0.7,-0.3,41.18,16.67,24.51
ENSG00000081237,PTPRC,4,0,1.0,0.0,23.53,0.0,23.53
ENSG00000096696,DSP,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000074582,BCS1L,11,9,0.55,-0.45,64.71,50.0,14.71
ENSG00000081248,CACNA1S,8,9,0.47,-0.53,47.06,50.0,2.94
ENSG00000099821,POLRMT,14,17,0.45,-0.55,82.35,94.44,12.09
ENSG00000074855,ANO8,8,13,0.38,-0.62,47.06,72.22,25.16
ENSG00000066084,DIP2B,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000072134,EPN2,3,2,0.6,-0.4,17.65,11.11,6.54
